Season,MatchDatetime,Division,Country,League,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,Bet365HomeOdds,Bet365DrawOdds,Bet365AwayOdds,LadbrokesHomeOdds,LadbrokesDrawOdds,LadbrokesAwayOdds,BwinHomeOdds,BwinDrawOdds,BwinAwayOdds,CornersHome,FoulsHome,RedCardsHome,ShotsHome,ShotsOnTargetHome,YellowCardsHome,Bet&WinAwayOdds,Bet&WinDrawOdds,Bet&WinHomeOdds,Betbrain1X2,GoalBetAway,GoalBetDraw,GoalBetHome,HomeCorners,HomeFouls,HomeRedCards,HomeShots,HomeShotsOnTarget,HomeYellowCards,AwayWinsImpact,DrawImpact,HomeWinsImpact,SBAwayOdds,SBDrawOdds,SBHomeOdds,SJAwayOdds,SJDrawOdds,SJHomeOdds,MatchTime,VCACornerAway,VCDraw,VCHome,WilliamHillAway,WilliamHillDraw,WilliamHillHome,home_opening_odds,draw_opening_odds,away_opening_odds,home_closing_odds,draw_closing_odds,away_closing_odds,match_date_final
2012/2013,2/26/2013 0:00,E1,England,Championship,Burnley,Huddersfield,0,1,A,0,0,D,1.91,3.6,4.5,1.8,3.5,4.5,1.78,3.4,4.5,1,7,0,8,5,3,4.5,3.5,1.8,39,4.5,3.4,1.78,8,13,0,13,5,3,4.4,3.5,1.7,4.178781729,3.569111372,2.444005032,4.33,3.4,1.83,0:00,4.4,3.6,1.91,4.2,3.4,1.91,1.97,3.67,4.08,1.75,3.87,5.2,2/26/2013
2012/2013,2/26/2013 0:00,E1,England,Championship,Leicester,Blackburn,3,0,H,2,0,H,1.75,4,5,1.66,3.75,5,1.65,3.5,5.25,4,4,0,6,2,0,5,3.6,1.7,39,5.25,3.5,1.65,11,6,0,14,7,0,4.6,3.5,1.65,4.178781729,3.569111372,2.444005032,5.5,3.6,1.67,0:00,5,3.9,1.75,5,3.5,1.73,1.68,4.02,5.52,1.69,4.02,5.38,2/26/2013
2012/2013,2/24/2013 0:00,E1,England,Championship,Wolves,Cardiff,1,2,A,0,1,A,3.2,3.4,2.4,3.2,3.25,2.25,3.25,3.25,2.15,7,8,0,11,7,1,2.25,3.3,3.1,37,2.15,3.25,3.25,1,15,0,6,2,1,2.3,3.2,2.8,4.178781729,3.569111372,2.444005032,2.3,3.3,3.13,0:00,2.5,3.4,3.1,2.5,3.1,2.9,3.36,3.39,2.31,3.63,3.47,2.19,2/24/2013
2012/2013,2/23/2013 0:00,E1,England,Championship,Watford,Derby,2,1,H,1,0,H,1.85,3.8,4.5,1.72,3.75,4.5,1.75,3.5,4.5,4,5,0,7,3,2,4.75,3.75,1.7,37,4.5,3.5,1.75,6,10,0,13,8,0,4.3,3.4,1.75,4.178781729,3.569111372,2.444005032,4.33,3.6,1.8,0:00,4.5,3.6,1.91,4.33,3.2,1.91,1.77,3.94,4.85,1.77,3.97,4.91,2/23/2013
2012/2013,2/23/2013 0:00,E1,England,Championship,Sheffield Weds,Crystal Palace,1,0,H,0,0,D,2.75,3.5,2.65,2.62,3.3,2.62,2.7,3.25,2.5,7,8,0,8,7,2,2.5,3.25,2.75,37,2.5,3.25,2.7,3,9,0,7,5,2,2.4,3.2,2.7,4.178781729,3.569111372,2.444005032,2.6,3.3,2.75,0:00,2.7,3.5,2.7,2.7,3.1,2.7,2.97,3.44,2.51,2.77,3.51,2.67,2/23/2013
2012/2013,2/23/2013 0:00,E1,England,Championship,Bristol City,Barnsley,5,3,H,2,0,H,2.75,3.4,2.7,2.5,3.4,2.7,2.5,3.25,2.7,6,5,0,21,14,1,2.8,3.4,2.4,37,2.7,3.25,2.5,9,8,0,16,12,0,2.7,3.2,2.4,4.178781729,3.569111372,2.444005032,2.75,3.4,2.6,0:00,2.7,3.5,2.75,2.7,3.1,2.7,2.5,3.46,2.97,2.68,3.42,2.81,2/23/2013
2012/2013,2/23/2013 0:00,E1,England,Championship,Brighton,Burnley,1,0,H,1,0,H,2.05,3.6,3.8,2,3.4,3.75,2,3.3,3.6,6,13,0,13,6,3,3.6,3.4,2,37,3.6,3.3,2,6,8,0,7,3,2,3.1,3.3,2.1,4.178781729,3.569111372,2.444005032,3.5,3.4,2.1,0:00,3.7,3.6,2.1,3.6,3.2,2.1,2.16,3.5,3.6,1.97,3.64,4.19,2/23/2013
2012/2013,2/23/2013 0:00,E1,England,Championship,Blackburn,Leeds,0,0,D,0,0,D,2.05,3.6,3.8,2,3.4,3.75,1.91,3.3,3.9,5,8,0,12,7,0,3.75,3.4,2,37,3.9,3.3,1.91,3,7,0,12,6,1,3.7,3.3,1.9,4.178781729,3.569111372,2.444005032,3.8,3.4,1.95,0:00,3.9,3.5,2.05,3.75,3.2,2.05,1.98,3.51,4.24,2.23,3.54,3.45,2/23/2013
2012/2013,2/23/2013 0:00,E1,England,Championship,Blackpool,Leicester,0,0,D,0,0,D,3,3.4,2.5,2.7,3.4,2.5,2.85,3.3,2.35,6,16,0,7,2,1,2.38,3.4,2.75,37,2.35,3.3,2.85,2,10,0,12,6,2,2.3,3.2,2.8,4.178781729,3.569111372,2.444005032,2.5,3.3,2.8,0:00,2.45,3.5,2.9,2.5,3.1,2.9,3.02,3.56,2.42,3.12,3.59,2.37,2/23/2013
2012/2013,2/23/2013 0:00,E1,England,Championship,Huddersfield,Ipswich,0,0,D,0,0,D,2.75,3.4,2.75,2.5,3.4,2.7,2.55,3.3,2.6,5,8,0,1,1,0,2.7,3.4,2.5,37,2.6,3.3,2.55,8,8,0,7,4,1,2.6,3.2,2.5,4.178781729,3.569111372,2.444005032,2.63,3.3,2.6,0:00,2.75,3.3,2.7,2.7,3.1,2.7,2.43,3.42,3.1,2.79,3.42,2.7,2/23/2013
2012/2013,2/23/2013 0:00,E1,England,Championship,Middlesbrough,Millwall,1,2,A,0,2,A,2.05,3.8,3.6,2,3.5,3.6,2,3.3,3.6,4,13,0,6,3,3,3.6,3.4,2,37,3.6,3.3,2,11,10,0,14,5,0,3.3,3.3,2,4.178781729,3.569111372,2.444005032,3.5,3.6,2.05,0:00,3.6,3.7,2.1,3.6,3.2,2.1,2.17,3.55,3.54,1.99,3.68,4.03,2/23/2013
2012/2013,2/23/2013 0:00,E1,England,Championship,Peterboro,Birmingham,0,2,A,0,1,A,2.35,3.6,3.1,2.37,3.4,2.87,2.3,3.25,2.95,1,9,0,13,6,1,3,3.5,2.25,37,2.95,3.25,2.3,7,9,0,12,9,0,2.8,3.2,2.3,4.178781729,3.569111372,2.444005032,3,3.4,2.38,0:00,3,3.6,2.38,3.1,3.2,2.3,2.45,3.54,2.99,2.2,3.66,3.4,2/23/2013
2012/2013,2/20/2013 0:00,E1,England,Championship,Leeds,Blackpool,2,0,H,0,0,D,2.63,3.4,2.88,2.37,3.3,2.9,2.4,3.25,2.8,5,3,0,11,6,0,2.8,3.4,2.4,36,2.8,3.25,2.4,7,8,0,16,10,0,2.7,3.2,2.4,4.178781729,3.569111372,2.444005032,2.88,3.3,2.5,0:00,2.75,3.4,2.7,2.75,3.2,2.6,2.5,3.47,2.97,2.8,3.32,2.76,2/20/2013
2012/2013,2/19/2013 0:00,E1,England,Championship,Derby,Bolton,1,1,D,0,1,A,2.38,3.6,3.1,2.37,3.25,3,2.25,3.3,3,4,17,0,10,6,1,3.1,3.25,2.3,39,3,3.3,2.25,7,15,0,22,10,0,2.7,3.2,2.4,4.178781729,3.569111372,2.444005032,3,3.3,2.38,0:00,3,3.6,2.4,2.9,3.3,2.38,2.39,3.52,3.1,2.49,3.42,3.06,2/19/2013
2012/2013,2/19/2013 0:00,E1,England,Championship,Millwall,Peterboro,1,5,A,1,2,A,1.95,3.7,4.2,1.9,3.5,4,1.9,3.4,3.9,3,8,0,10,6,0,4,3.6,1.83,39,3.9,3.4,1.9,7,12,1,5,5,3,3.7,3.3,1.9,4.178781729,3.569111372,2.444005032,4,3.5,1.9,0:00,3.8,3.75,2,4,3.4,1.91,1.91,3.84,4.15,1.93,3.83,4.12,2/19/2013
2012/2013,2/19/2013 0:00,E1,England,Championship,Leicester,Charlton,1,2,A,0,1,A,1.53,4.33,7,1.57,4,5.5,1.55,3.75,6,2,8,0,6,3,1,6,3.75,1.57,39,6,3.75,1.55,11,9,0,9,4,0,5.4,3.7,1.55,4.178781729,3.569111372,2.444005032,7,4,1.5,0:00,6.5,4.5,1.53,6,4,1.53,1.56,4.42,6.42,1.56,4.4,6.59,2/19/2013
2012/2013,2/19/2013 0:00,E1,England,Championship,Ipswich,Watford,0,2,A,0,1,A,2.88,3.6,2.5,2.87,3.4,2.37,2.8,3.25,2.4,2,12,0,13,7,4,2.5,3.4,2.7,39,2.4,3.25,2.8,8,9,0,15,7,2,2.4,3.2,2.7,4.178781729,3.569111372,2.444005032,2.5,3.3,2.8,0:00,2.5,3.6,2.88,2.5,3.2,2.8,2.82,3.53,2.58,2.48,3.57,2.94,2/19/2013
2012/2013,2/19/2013 0:00,E1,England,Championship,Barnsley,Wolves,2,1,H,0,1,A,2.38,3.4,3.2,2.37,3.2,3.1,2.25,3.3,3,6,7,0,9,4,0,3.1,3.4,2.25,39,3,3.3,2.25,8,9,0,12,4,1,2.8,3.2,2.3,4.178781729,3.569111372,2.444005032,3.13,3.3,2.3,0:00,3.3,3.4,2.3,3.2,3.2,2.3,2.4,3.43,3.15,2.31,3.45,3.37,2/19/2013
2012/2013,2/19/2013 0:00,E1,England,Championship,Birmingham,Sheffield Weds,0,0,D,0,0,D,2.6,3.4,2.88,2.4,3.3,2.9,2.5,3.4,2.6,8,6,0,15,3,4,2.8,3.4,2.4,39,2.6,3.4,2.5,0,11,0,11,4,0,2.7,3.2,2.4,4.178781729,3.569111372,2.444005032,2.75,3.3,2.5,0:00,2.88,3.4,2.6,2.8,3.2,2.5,2.5,3.42,3,2.61,3.46,2.88,2/19/2013
2012/2013,2/19/2013 0:00,E1,England,Championship,Burnley,Middlesbrough,0,0,D,0,0,D,2.1,3.5,3.8,2.1,3.3,3.5,2,3.3,3.6,1,11,0,9,5,2,3.5,3.3,2.1,39,3.6,3.3,2,12,10,0,12,5,2,3.1,3.3,2.1,4.178781729,3.569111372,2.444005032,3.6,3.5,2.05,0:00,3.75,3.6,2.05,3.6,3.4,2.05,2.06,3.65,3.75,1.97,3.7,4.12,2/19/2013
2012/2013,2/19/2013 0:00,E1,England,Championship,Cardiff,Brighton,0,2,A,0,1,A,2,3.6,4,1.9,3.5,4,1.95,3.4,3.7,1,13,0,5,4,3,3.75,3.4,2,38,3.7,3.4,1.95,13,13,0,19,12,1,3.7,3.3,1.9,4.178781729,3.569111372,2.444005032,3.75,3.4,2,0:00,4,3.6,1.95,3.8,3.3,2,2.01,3.61,3.99,2.13,3.47,3.77,2/19/2013
2012/2013,2/16/2013 0:00,E1,England,Championship,Birmingham,Watford,0,4,A,0,2,A,2.95,3.5,2.5,2.6,3.5,2.5,2.75,3.3,2.4,7,2,0,12,9,0,2.6,3.4,2.6,36,2.4,3.3,2.75,8,11,0,7,2,2,2.6,3.2,2.5,4.178781729,3.569111372,2.444005032,2.5,3.3,2.88,0:00,2.5,3.5,2.9,2.5,3.2,2.88,2.75,3.5,2.66,2.83,3.56,2.59,2/16/2013
2012/2013,2/16/2013 0:00,E1,England,Championship,Cardiff,Bristol City,2,1,H,1,0,H,1.53,4.5,6.5,1.53,3.8,6.5,1.45,4.2,6.5,3,12,0,9,6,1,6.5,4,1.5,36,6.5,4.2,1.45,8,6,0,13,11,0,7,4.1,1.4,4.178781729,3.569111372,2.444005032,7,4.33,1.5,0:00,6.25,4.2,1.57,6,3.8,1.57,1.5,4.58,7.25,1.59,4.29,6.34,2/16/2013
2012/2013,2/16/2013 0:00,E1,England,Championship,Crystal Palace,Middlesbrough,4,1,H,1,0,H,2.15,3.6,3.6,2.1,3.5,3.25,2,3.4,3.5,4,5,0,6,5,1,3.6,3.25,2.1,36,3.5,3.4,2,7,7,0,11,6,0,3.3,3.3,2,4.178781729,3.569111372,2.444005032,3.6,3.4,2.05,0:00,3.5,3.5,2.15,3.5,3.2,2.15,2.09,3.59,3.74,1.89,3.72,4.48,2/16/2013
2012/2013,2/16/2013 0:00,E1,England,Championship,Derby,Wolves,0,0,D,0,0,D,1.95,3.6,4.2,1.95,3.5,3.75,1.95,3.4,3.7,5,14,0,8,3,2,3.75,3.5,1.95,36,3.7,3.4,1.95,5,9,0,9,5,1,3.7,3.3,1.9,4.178781729,3.569111372,2.444005032,4,3.5,1.95,0:00,4,3.6,2,4.2,3.3,1.91,2.07,3.59,3.8,2.1,3.63,3.73,2/16/2013
2012/2013,2/16/2013 0:00,E1,England,Championship,Ipswich,Blackpool,1,0,H,0,0,D,2.6,3.5,2.8,2.4,3.4,2.8,2.45,3.25,2.75,7,7,0,9,4,0,2.8,3.4,2.4,36,2.75,3.25,2.45,2,8,0,11,5,1,3,3.2,2.2,4.178781729,3.569111372,2.444005032,2.8,3.3,2.5,0:00,2.75,3.5,2.6,2.8,3.1,2.62,2.52,3.5,2.92,2.53,3.5,2.95,2/16/2013
2012/2013,2/13/2013 0:00,SC0,Scotland,Premier League,Inverness C,Kilmarnock,1,1,D,1,0,H,1.8,3.75,4.2,1.83,3.4,4.33,1.83,3.4,3.9,4,11,0,2,1,0,4,3.4,1.91,37,3.9,3.4,1.83,9,10,0,13,7,1,3.8,3.2,1.85,4.178781729,3.569111372,2.444005032,4.33,3.5,1.8,0:00,4.2,3.9,1.83,4,3.6,1.85,1.95,3.81,3.92,1.78,3.95,4.78,2/13/2013
2012/2013,2/12/2013 0:00,E1,England,Championship,Brighton,Blackburn,1,1,D,0,1,A,2.1,3.6,3.75,2.2,3.25,3.25,2.05,3.25,3.5,2,8,0,8,5,5,3.4,3.25,2.1,40,3.5,3.25,2.05,9,13,0,17,10,2,3.1,3.3,2.1,4.178781729,3.569111372,2.444005032,3.5,3.3,2.1,0:00,3.6,3.4,2.2,3.4,3.3,2.15,2.17,3.45,3.64,2.16,3.56,3.6,2/12/2013
2012/2013,2/12/2013 0:00,E1,England,Championship,Middlesbrough,Leeds,1,0,H,0,0,D,2.15,3.6,3.6,2.1,3.4,3.3,2.1,3.25,3.4,2,15,0,11,4,1,3.25,3.4,2.1,40,3.4,3.25,2.1,5,13,1,6,4,3,3.1,3.3,2.1,4.178781729,3.569111372,2.444005032,3.4,3.4,2.1,0:00,3.6,3.6,2.15,3.4,3.6,2.05,2.22,3.56,3.4,2.05,3.59,3.91,2/12/2013
2012/2013,2/11/2013 0:00,SC0,Scotland,Premier League,Hibernian,St Johnstone,1,3,A,0,2,A,2.4,3.4,2.8,2.4,3.3,2.9,2.4,3.2,2.7,3,21,0,9,5,3,2.8,3.3,2.5,31,2.7,3.2,2.4,6,16,0,8,1,2,2.7,3.1,2.4,4.178781729,3.569111372,2.444005032,2.8,3.13,2.5,0:00,2.9,3.4,2.62,2.75,3.1,2.62,2.63,3.31,2.87,3.05,3.17,2.61,2/11/2013
2012/2013,2/10/2013 0:00,N1,Netherlands,Eredivisie,Zwolle,Twente,1,1,D,0,1,A,4.75,3.6,1.73,4,3.4,1.72,5,3.6,1.6,0,0,0,0,0,0,1.75,3.6,4.33,38,1.6,3.6,5,0,0,0,0,0,0,1.65,3.5,4.5,4.178781729,3.569111372,2.444005032,1.73,3.6,4.5,0:00,1.8,3.75,4.6,1.67,3.75,4.33,5.13,3.92,1.72,4.37,3.98,1.83,2/10/2013
2012/2013,2/10/2013 0:00,N1,Netherlands,Eredivisie,Utrecht,Nijmegen,0,3,A,0,1,A,1.8,3.5,4.5,1.72,3.4,4,1.83,3.4,3.9,0,0,0,0,0,0,4,3.5,1.83,34,3.9,3.4,1.83,0,0,0,0,0,0,4,3.2,1.8,4.178781729,3.569111372,2.444005032,4,3.5,1.83,0:00,4.4,3.7,1.85,3.75,3.5,1.83,1.86,3.77,4.4,2.05,3.58,3.89,2/10/2013
2012/2013,2/10/2013 0:00,N1,Netherlands,Eredivisie,Feyenoord,AZ Alkmaar,3,1,H,1,0,H,1.83,3.75,4,1.83,3.2,3.75,1.87,3.4,3.7,0,0,0,0,0,0,3.75,3.5,1.91,38,3.7,3.4,1.87,0,0,0,0,0,0,3.6,3.2,1.9,4.178781729,3.569111372,2.444005032,4,3.5,1.9,0:00,4.1,3.75,1.9,3.5,3.5,1.91,2.06,3.68,3.67,1.74,3.89,5.15,2/10/2013
2012/2013,2/10/2013 0:00,N1,Netherlands,Eredivisie,Ajax,Roda,1,1,D,0,1,A,1.17,7.5,13,1.12,7,11,1.15,6.5,13,0,0,0,0,0,0,13,7,1.17,38,13,6.5,1.15,0,0,0,0,0,0,13,6,1.15,4.178781729,3.569111372,2.444005032,15,7,1.17,0:00,18,7.5,1.17,12,6.5,1.17,1.17,9.09,17.16,1.15,9.26,20.23,2/10/2013
2012/2013,2/9/2013 0:00,E1,England,Championship,Wolves,Leeds,2,2,D,0,0,D,2.38,3.5,3.1,2.37,3.4,2.87,2.3,3.2,3,7,7,0,4,1,0,2.8,3.4,2.4,40,3,3.2,2.3,9,10,0,8,1,0,2.8,3.2,2.3,4.178781729,3.569111372,2.444005032,3,3.3,2.38,0:00,3.2,3.4,2.4,3.25,3.2,2.25,2.37,3.49,3.16,2.34,3.43,3.32,2/9/2013
